"ITEM","Título","Verso Bíblico / Pasaje"
"1","Cireneo","Lucas 23:26 "
"2","Alabastro","Lucas 7:37 "
"3","En la Orilla","Juan 21 "
"4","El Sueño de José","Mateo 1:20 "
"5","El Sí de María","Lucas 1:38 "
"6","El Camino","Lucas 24 "
"7","Manos de Gracia","Juan 13 "
"8","La Mejor Parte","Lucas 10:42 "
"9","La Travesía Tranquila","Lucas 2 "
"10","La Noche Rota","Lucas 2:8 "
"11","La Ofrenda Real","Mateo 2 "
"12","En un Humilde Pesebre","Juan 1 / Lucas 2 "
"13","Emmanuel","Mateo 1:23"
"14","Siete Vueltas","Josué 6 "
"15","El Manto","Marcos 5 "
"16","Guardián","Apocalipsis 5 "
"17","Soplo de Vida","Ezequiel 37 "
"18","La Piedra Rodó","Mateo 28 "
"19","A Medianoche","Hechos 16 "
"20","Tu Sombra y Tu Luz","Éxodo 13 "
"21","Kadosh","Isaías 6 "
"22","León y Cordero","Apocalipsis 5"
"23","Consumado Es","Juan 19 "
"24","El Susurro","1 Reyes 19 "
"25","Mío Eres Tú","Isaías 43 "
"26","En Tus Manos","Jeremías 18 "
"27","Refugio Seguro","Salmo 62 / Salmo 18"
"28","Getsemaní","Mateo 26:39"
"29","Invisible","Hebreos 11 (Fe)"
"30","Espejo de Fuego","Apocalipsis 15 / 4"
"31","Cielo Nuevo","Apocalipsis 21"
"32","Maranatha","Apocalipsis 22"
"33","Solo una Cosa","Salmo 27:4"
"34","El Escondite","Salmo 32:7 / Salmo 91"
"35","Tu Mirada Me Sigue","Salmo 139:1-8"
"36","AGUA DE VIDA","Salmo 42"
"37","ECOS DE LUZ","Salmo 19"
"38","ALAS DEL ALBA","Salmo 139"
"39","QUIETUD","Salmo 46"
"40","LA VOZ DE JEHOVÁ","Salmo 29"
"41","AL DESPERTAR","Salmo 63"
"42","VALE MÁS","Salmo 84"
"43","QUIÉN MÁS","Salmo 73"
"44","ENCONTRÉ MI HOGAR","Salmo 84:3 (El Gorrión)"
"45","NO TEMERÉ","Salmo 27:1-3"
"46","TUS ALAS","Salmo 63:7"
"47","MI BIEN","Salmo 73:28"
"48","SANTUARIO","Salmos 84, 63, 27 y 73"
"49","LA ROCA MÁS ALTA","Salmo 61:1-4"
"50","ALZARÉ MIS OJOS","Salmo 121"
"51","SOLO EN DIOS","Salmo 62"
"52","MIL A TU LADO","Salmo 91"
"53","A DÓNDE HUIRÉ","Salmo 139"
"54","NADA ME FALTARÁ","Salmo 23"
"55","Torre Fuerte","Salmo 61:3"
"56","No Dormirá","Salmo 121:3-6"
"57","Bajo Tus Alas","Salmo 91:1-4"
"58","Silencio en la Roca","Salmo 62:1-8"
"59","Refugio Eterno","Salmos 61, 62, 91, 121"
"60","Raíces en el Río","Salmo 1:1-3"
"61","El Viento y la Nada","Salmo 1:4-6"
"62","Pasos de Fuego","Salmo 119:105"
"63","Oro y Miel","Salmo 119:97-104"
"64","Inquebrantable","Salmo 119:113-120"
"65","Aguas de Calma","Salmo 23:1-3"
"66","Casa de Paz","Salmo 23:4-6"
"67","Desde la Eternidad","Salmo 90:1-6"
"68","Senda Eterna","Resumen Global (Salmos 1, 23, 90, 119)"
"69","La Belleza de Tu Gloria (instrumental)","Salmo 27:4"
"70","Cielo Claro","Salmo 32:1-2"
"71","Mi Invierno Acabó","Salmo 32:3-5"
"72","Lugar Seguro","Salmo 32:7-8"
"73","Inmensa Bondad","Salmo 51:1-4"
"74","Corazón Nuevo","Salmo 51:10-12"
"75","Abre Mis Labios","Salmo 51:14-17"
"76","Tengo Sed","Salmo 63:1-4"
"77","Tu Diestra","Salmo 63:5-8"
"78","Labios de Júbilo","Salmo 63:5"
"79","El Salmo de mi Vida","Resumen Salmos 23, 51, 63"
"80","Aquí Sigo (Hasta Cuándo)","Salmo 13:1-2"
"81","Alumbra mis Ojos","Salmo 13:3-4"
"82","Tu Bondad","Salmo 13:5-6"
"83","En Ti Confío","Salmo 22:1-2"
"84","NO FUE MI FUERZA","salmo 44 "
"85","Mi Roca Firme","Salmo 18:1-3"
"86","El Cielo se Abrió","Salmo 18:4-6"
"87","Tú Bajaste","Salmo 18:7-15"
"88","Lugar Espacioso","Salmo 18:16-19"
"89","El Camino de la Luz","Salmo 18:20-24"
"90","Pies en las Alturas","Salmo 18:32-42"
"91","Viva el Señor","Salmo 18:46-50"
"92","Pelea por Mí","Salmo 35:1-3"
"93","Viento y Sombras","Salmo 35:4-8"
"94","¿Quién como Tú?","Salmo 35:9-10"
"95","Camino Derecho","Salmo 35:11-16"
"96","Tu Amor No Callará","Salmo 35:17-23"
"97","Grande es el Señor","Salmo 35:24-28"
"98","Eco de Victoria","Salmo 35 (Completo)"
"99","¡Levántate!","Salmo 68:1-4"
"100","Hogar en Tu Presencia","Salmo 68:5-10"
"101","Buenas Nuevas","Salmo 68:11-14"
"102","El Monte Sagrado","Salmo 68:15-19"
"103","Puerta de Escape","Salmo 68:20-27"
"104","Reinos de la Tierra","Salmo 68:28-35"
"105","Cumbre de Majestad","Salmo 68:1-35"
"106","Mis Manos para la Guerra","Salmo 144:1-2"
"107","¿Qué es el Hombre?","Salmo 144:3-4"
"108","Toca los Montes","Salmo 144:5-8"
"109","Cántico Nuevo","Salmo 144:9-11"
"110","Dichoso el Pueblo","Salmo 144:12-15"
"111","Roca y Escudo (Medley)","Salmo 144:1-15"
"112","Herencia Mía","Salmo 2:7-9"
"113","Refugio Santo","Salmo 2:10-12"
"114","Desde Siempre","Salmo 22:9-10"
"115","Cerca Estás","Salmo 22:19-21"
"116","Gran Reunión","Salmo 22:22-26"
"117","Reino Eterno","Salmo 22:27-31"
"118","Canto y Música","Salmo 22:24-26"
"119","Entre Nosotros","Salmo 22:22-23"
"120","Desde el Principio","Salmo 22:9-10"
"121","Fuerza Mía","Salmo 22:19-21"